domainID,review
mob_550,"फिर भी अच्छी बात यह है कि इसमें 2 जीबी रैम है, यह उस सबके लिए पर्याप्त से भी अधिक है जिसके लिए आप अपना स्मार्टफोन इस्तेमाल करना चाहेंगे।"
tra_629,यह मस्जिद भारतीय-मुस्लिम वास्तुशैली का एक अच्छा उदाहरण है।
mob_640,"पिछले साल दस हजार रु से कम कीमत में अगर कोई भी स्मार्टफोन लेना होता, तो सबसे पहला नाम Moto E का आता था।"
tab_546,इसका डुएल कोर प्रोसेसर इस डिवाइस को अच्छे परफॉरमेंस और मल्टीटास्किंग के लिए सक्षम बनाता है।
mov_93,बाकी का काम एलेक्जेंड्रा डड्डारियो के लुक पर छोड़ दिया है।
hom_32,सारा सामान एकसाथ डालना होता है।
app_119,शुक्र है कि अप यह ऐप आपके स्मार्टफ़ोन पर आसनी से उपलब्ध है।
tra_220,"सिन्धु घाटी की सभ्यता, स्वतंत्रता सेनानियों और तराशे गए हिरों के लिए प्रसिद्ध गुजरात भारत के पश्चिम भाग का एक महत्वपूर्ण प्रदेश है।"
mov_777,फिल्म अपनी संरचना से बांधे रखती है।
tab_295,"यह टेबलेट हाथ में लेने पर भारी महसूस होता है , जबकि यह सिर्फ 471 ग्राम का है।"
mob_1303,"पिछला बीएसआइ 2 सेंसर है जबकि अगला स्टँडर्ड बीएसआइ सेंसर है, फोटो की क्वालिटी उतनी असरकारक नहीं थी जितनी की एक 13 मेगा पिक्सल कैमरा से उम्मीद होती है।"
tra_525,सड़कों के बीचोंबीच बाघों को आसानी से देखा जा सकता है।
sma_62,"एलसीडी स्क्रीन, एंड्रायड वीयर, 420 मिली एंपियर ऑवर"
mob_821,जहां तक क्वालिटी की बात है तो कहा जा सकता फोन की बिल्ट अच्छी है।
tab_862,सभी पोर्ट काफी व्यवस्थित दिखते हैं।
mov_222,गीतांजलि की परफॉर्मेंस बहुत अच्छी है।
mov_113,इस बात के लिए जेम्स वेन को धन्यवाद दिया जाना चाहिए कि उन्होंने हॉरर फिल्मों के जोनर को ऐसा फार्म बना दिया है जो आपको नुकसान नहीं पहुंचाता।
tab_371,यहाँ आप टेबलेट के दायीं तरफ़ पॉवर और वॉल्यूम के बटन देख सकते हैं |
tra_372,इसे देवगढ़ भी कहा जाता है।
lap_183,कवर खोलने पर इसका साफ़-सुथरा कीबोर्ड काफी आकर्षक दिखाई देता है।
mob_751,अच्छा कैमरा  है।
lap_107,लेकिन इसका डिस्प्ले हिन्ज़ उतना टाइट नहीं है जितना इसे होना चाहिए और इसीलिये इस्तेमाल करते वक्त अचानक कोई मूवमेंट होने पर इसका डिस्प्ले कभी-कभी अपने पोजीशन से हिल जाता है।
mob_907,इसके अलावा अगर इसकी इंटरनल स्टोरेज की बात करें तो लेनोवो के इस नए स्मार्टफ़ोन में 4GB की इंटरनल स्टोरेज मिल रही है इसके साथ ही अगर आप इसकी स्टोरेज में इजाफ़ा करना चाहते है तो आप इसे 32GB तक एक्सपैंड कर सकते हैं।
cam_116,इसमें दिया गया ऑटोफोकस बहुत आकर्षक होने के साथ-साथ काफी तेज और सब्जेक्ट को रीयल फास्ट लॉक करने में सक्षम है।
cam_67,कैमरे में 2.8 इंच की एलसीडी स्‍क्रीन इनबिल्‍ड है।
tab_809,हालांकि इसमें GPS सपोर्ट नहीं है।
tab_891,हालांकि हमने जब अपने हिंदी साइट के लिए न्यूज एडिट करने की कोशिश की तो इसमें टेक्स्ट काफी उलझे हुए तरीके से दिखे।
tab_84,"अगर आप एक प्रीमियम एंड्रायड डिवाइस खरीदना चाहते हैं, तो इस टेबलेट को आप अवश्य खरीदें।"
app_14,इस फीचर के तहत यूजर ब्रॉडकास्ट के जरिए देखे जाने वाले वीडियो रूकने पर फिर वहीं से देख सकते हैं जहां वो रूका था।
mob_1413,"कुल मिलाकर, यह एक औसतन फोन है, हालांकि कार्बन ने ढांचे की गुणवत्ता और दिखावे के मामले में बहुत ही शानदार काम किया है।"
tra_746,सुबह हुई और साथ वालों ने खबर दी की बाहर हो आओ अच्छा नज़ारा है।
tab_1212,कैमरा तेज रोशनी में अच्छा काम करता है  लेकिन इसका कम रेजॉल्यूशन इसे समान पिक्चर और वीडियो बनाने में असमर्थ करता है।
mov_448,"फिल्म की थीम के हिसाब से सलेटी रंग चुना गया है, लेकिन वह अधिक काम नहीं आ पाता।"
mov_415,उनकी मेहनत जाहिर है।
hea_43,"लेकिन, यह सर्वश्रेष्ठ नहीं हो सकता है, मिड रेंजेज द्वारा आपके कुछ ट्रैक्स को दबा ​दिये जाने के बाद, खास तौर से वोकल चालित म्यूजिक की आवाज उतनी अच्छी नहीं होगी।"
mov_820,शाहिद कपूर ने हैदर के बाहरी रूप को अच्छी तरह अंगीकार किया है।
mob_746,हमने इसमें जो थोड़ी सी कमी महसूस की वो है इसके स्पीकर की आवाज़ का कम होना।
mob_261,इसमें 32 जीबी का इंटर्नल स्टोरेज है व माइक्रोएसडी कार्ड का सपोर्ट भी है।
tab_246,हमने महसूस किया कि यह डिवाइस गेम चलाते समय या एचडी मूवी देखते समय हल्का सा गर्म हो जाता है।
mov_806,"दिव्येंदु शर्मा का कॉमिक अवतार लोगों ने अब तक देखा है, मगर यहां उनका विद्रोही रूप असर छोड़ता है।"
mob_35,वैसे इस साल 4जी लॉन्चेस होने हैं और अगर आप लॉन्ग टर्म को ध्यान में रखकर फोन लेना चाहें तो ले सकते हैं।
tra_729,चुन्गथांग की हसीन वादियों और चाय की चुस्कियों के साथ सफर की थकान जाती रही।
mob_82,एमटीएस (MTS) ने स्मार्टफोन के साथ टीवी एप्लीकेशन बंडल्ड की है जिसके कारण यूजर 100 से अधिक चैनल के साथ लाइव टीवी देख कता है।
app_48,यह एप्प अभी सिर्फ एंड्रॉयड डिवाइसेज के लिए ही उपलब्ध है।
mob_852,"पर इस फ़ोन की सबसे बड़ी खामी ही इसका कैमरा है ,इससे ली फोटो इतनी खास नहीं और ज़ूम करने पर तो फोटो ख़राब हो जाती है।"
sma_148,यह ऐसा ब्ल्यूटूथ डिवाइस है जिसे 3.5 mm जैक वाले किसी भी हेडसेट से जोड़ा जा सकता है।
lap_321,कोर आई3 प्रोसेसर इस कीमत के रेंज में काफी स्टैण्डर्ड है और दूसरे विकल्प के रूप में एएमडी डुएल कोर और क्वाड कोर प्रोसेसर आते हैं।
spe_30,"इन स्पीकर का मॉडल LBS999 है, जो स्पीकर के साथ मोबाइल स्टैंड का भी काम करते हैं।"
tra_637,चित्तौड़गढ़ किला राजपूत शौर्य के इतिहास में गौरवपूर्ण स्थान रखता है।
tra_586,प्रकृति ने मनाली का श्रृंगार खुले हाथों से किया है।
mob_305,भारतीय बाजार के लिए मोटोरोला का यह 'मोटो एक्स' उपभोक्ताओं के लिए एक लुभावना मौका है।
mov_236,दूसरा जो है वो 90 के दशक का लगता है।
hom_60,ये AC से एक बड़े कमरा या हॉल को कूल करने के लिए काफी है।
mob_713,शटर लॅग ज्यादा नहीं है और फोटो क्वालिटि अच्छी है।
mov_357,नायिका के नियंत्रण और आक्रमण को आम दर्शक स्वीकार नहीं कर पाता है।
mob_988,"तेज प्रकाश की दशा में, इसके पिक्चर्स बहुत ही तेज होते हैं, रंग भड़कीले होते हैं और यहां तक कि ऑटो-ह्वाइट बैलेंस भी बिल्कुल सटीक होता है।"
mov_599,वह हंसी-मजाक के दृश्यों में भाव-मुद्राओं या संवादों से फूहड़ नहीं होतीं।
tab_177,"कुल मिलाकर सोनी एक्सपीरिया टेबलेट जेड की डिज़ाइन बहुत खूबसूरत, सिंपल और सुविधाजनक है।"
app_132,इसमें एक सुंदर यूआई भी है और इसके द्वारा विडियो शेयर करना प्रसंता देता है।
cam_151,दुनिया का पहला ऎसा कैमरा जो खींचता है लाजवाब तस्वीरें ।
sma_274,डायल हालांकि काफी मोटी है और बड़ी लगती है लेकिन यह कलाई पर अच्छी तरह फिट बैठती है।
mov_839,'देसी कट्टे' निहायत कमजोर फिल्म है।
tab_264,ET701 में 3G के लिए सिम स्लॉट नहीं है  पर टेबलेट में डोंगल द्वारा 3G का इस्तेमाल आप कहीं भी कर सकते है।
tra_26,जैव विविधता के लिहाज से यह काफी संपन्न क्षेत्र है।
mov_841,नई कोशिशों पर रोक लग जाती है।
mob_890,"इसके अलावा इसमें एचडी वीडियो रिकॉर्डिंग, वाईफ़ाई, ब्लूटूथ, जीपीआरएफ, जीपीएफ और यूएसबी भी मौजूद हैं।"
mob_229,"इस फोन में 5 एचआरडी स्क्रीन, एलइडी फ्लैश के साथ 10 मेगापिक्सल रियर और 2 मेगापिक्सल फ्रंट कैमरा दिया गया है।"
mov_865,"ऐसा लगता है कि उन्हें खास मेहनत नहीं करनी पड़ी हैं, जबकि मिली के मिजाज को अंत तक निभा ले जाने में श्रम लगा होगा।"
sma_77,उपयोग में सहज नहीं।
app_89,शानदार ग्राफ़िक्स और कार का सूक्ष्म विवरण देने वाला यह गेम आपके एंड्रायड उपकरण पर अवश्य होना चाहिए।
mov_656,इस फिल्म की उपलब्धि हैं विनीत कुमार सिंह और गिरीश कुलकर्णी।
tab_847,कभी कभी सुस्त हो जाता है।
mov_156,मगर इसमें इस किरदार के बारे में किसी तरह की कोई बात नहीं की गई है।
tab_620,"लिनोवो के तीसरे मॉडल S6000 को खासतौर से इंटरटेनमेंट के लिए बनाया गया है , इसमें 10.1 इंच की स्‍क्रीन दी गई है  जो 1280x800 पिक्‍सल रेज्‍यूलूशन सपोर्ट करती है , टैबलेट का भार 560 ग्राम है , और इसमें 1.2 गीगाहर्ट क्‍वॉड कोर प्रोसेसर, 3जी, वाईफाई, माइक्रो एचडीएमआई पोर्ट, ब्‍लूटूथ किबोर्ड डॉक दिया गया है  लिनोवो ने S6000 को 27,000 रुपए में लांच किया है।"
lap_208,लेकिन इसका प्रोसेसर कमजोर है।
tel_44,अगर बाजार में उपलब्ध टीवी रेंज को देखें तो इंटेक्स का नया टीवी काफी भारी लगेगा।
mob_905,इस नए स्मार्टफ़ोन में एक स्टाइलिश डिजाईन है है इसके साथ ही इसकी  सुंदरता इसके मेटलिक फ्रेम और फ्लैट बैक से ज्यादा बढ़ जाती है।
mov_666,वैचारिक स्तर पर इस कमी के बावजूद 'पीके' मनोरंजक तरीके से कुछ फौरी और जरूरी बातें करती है।
tab_812,टैबलेट अपने पूरी तरह से काले नान ग्लॉसी फिनिश लुक के साथ शानदार दिखती है।
tab_1036,स्पीकर और कनेक्टिविटी के सभी पोर्ट्स डिवाइस के नीचे दाईं ओर लगे हैं।
tab_673,"माइक्रोमैक्स केनवस सीरीज के नए टेबलेट में 3000 एमएएच की बैटरी लगी है,जो काफी लंबे समय तक चलती है।"
app_80,"कॉर्पोरेट वर्ल्ड में डोक्यूमेंट्स को डिजिटली हस्ताक्षर करना कोई बड़ी या नई बात नहीं है लेकिन जितना आसान डिजिटल हस्ताक्षर के साथ डॉक्यूमेंट को प्रमाणित करने के लिए कहना होता है, उतना आसान यह डिजिटल हस्ताक्षर करना संभव नहीं हो पाता।"
tra_598,"यहां अक्टूबर से अप्रैल तक प्राकृतिक रूप से बहने वाले झरने से शिवलिंग बनता है, जो फरवरी में 25 फीट ऊंचाई का आकार ले लेता है।"
mob_1365,"यूआई के मोर्चे पर, वी5 ज़ेडटीइ के खुद के नुबिया यूआई पर चलता है, जो विजुअल एस्थेटिक्स के हिसाब से सर्वोत्तम है।"
app_104,"इस एप से आप चित्रों को सीधे इन्स्टाग्राम नेटवर्क पर भेज सकते हैं, और यहाँ तक कि चित्रों को अपने फ़ोन में सुरक्षित भी कर सकते है।"
tab_376,डिजिफलीप प्रो XT911 FHD रेसोलुशन और एक बड़े 8.9 इंच आईपीएस डिस्प्ले के साथ आता है।
app_121,इस ऐप के माध्यम से आप कोई भी विडियो डाउनलोड कर सकते हैं और उसे दुनिया भर में अपने दोस्तों के साथ साझा कर सकते हैं।
mov_780,फिर भी 'हैप्पी न्यू ईयर' के डांस सीक्वेंस प्रभावित नहीं करते।
tab_1243,ये डिवाइस 300 पिक्सल प्रति इंच की डेन्सिटी देता है।
mov_583,"'बेबी' का एक्शन धूलउड़ाऊ और कांचतोड़ू नहीं है, लेकिन वह पर्याप्त असर डालता है।"
tab_694,फनबुक प्रो (Funbook Pro) में पहले के टैबलेट की तुलना में बेहतरीन स्पेशिफिकेशन है  जैसे फनबुक (Funbook) की 7 इंच की स्क्रीन के मुकाबले इसमें 10.1 इंच की कैपेसिटिव मल्टीटच स्क्रीन है।
mob_371,इसमें 2300 एमएएच की बैटरी लगी है।
tel_82,एप्पल टीवी वैसे तो रिमोट के जरिए ऑपरेट किया जाता है और सीधे इसे टीवी से कनेक्ट किया जाता है पर इससे अन्य काम भी किए जा सकते हैं।
tra_116,यहां की झीलें और घने जंगल इसकी खूबसूरती में चार चांद लगा देते हैं।
tab_791,वैसे भी यह इस उद्देश्य के लिए लगा भी नहीं हैं।
spe_35,इन स्पीकर का डिजाइन और ऑडियो क्वालिटी शानदार है।
tra_271,इससे आप अंदाजा ला सकते हैं कि विश्व में केरल आयुर्वेदिक का कितना महत्व है।
app_169,यह एप्पलीकेशन 19 अंतरराष्ट्रीय भाषाओं को सपोर्ट करती है।
tab_59,1 .86 गीगा हर्ट्ज का इंटेल प्रोसेसर कई बडे टास्क को एक साथ हैंडल कर सकता है।
mob_284,यदि ऑडियो सिस्टम की बात करें तो आवाज काफी अच्छी है साथ ही लाउडस्पीकर पर भी म्यूजिक सुनने का अनुभव अच्छा है।
mov_124,साथ ही निराशानजक भी है कारण कुछ बातें अविश्वसनीय सी लगती है।
tab_701,"हालांकि कंपनी के द्वारा इसके वजन का खुलासा नहीं किया गया है , फनबुक प्रो (Funbook Pro) फिर भी हाथों में थोड़ा सा भारी महसूस होता है ,लेकिन यह 10 इंची टैबलेट के हिसाब से सही है।"
mob_24,इसकी बैटरी लाइफ की बात करें तो यह 11 घंटे 9 मिनट तक चली।
tra_227,अगर आप मानसून के समय कच्छ की ओर रुख करते हैं तो आपको और ज्यादा मजा आएगा।
tab_1143,"अतः निश्चित रूप से डिसप्ले के लिहाज से मीडिया पैड एक बेहतरीन पैड है , जिसे आप महसूस कर सकते हैं।"
tab_729,याद रहे कि फनबुक प्रो (Funbook Pro) 5600 mAh की बड़ी स्क्रीन के साथ आता है  जो कि सही मायनों में शानदार है।
tab_494,"मीडियापैड 10 लिंक की कीमत 24,999 रूपये है , और इसका लक्ष्य आईपैड मिनी, आईपैड 2 और सैमसंग गैलेक्सी टैब 3 हैं।"
mov_451,फिल्म के गाने ठीक-ठाक हैं।
tel_41,फुल एचडी वीडियो प्लेबैक के साथ ये टीवी डिजिटल नॉइस रिडक्शन तकनीक के साथ आता है।
tab_375,यह टेबलेट 3G कनेक्टिविटी देता हैं और इससे वौइस् कालिंग भी कर सकते हैं।
mob_679,अच्छी वीडियो रिकॉर्डिंग केपेबिलिटी है।
mob_360,इसमें 1800 एमएएच बैटरी लगी है जो लंबे समय तक चलने वाली है।
tel_90,यह नया 5K आईमैक है।
tab_710,"साथ ही, चूकि सभी पोर्ट्स एक ही तरफ हैं तो आपको एक बार में सब कुछ कनेक्ट करने में मुश्किल हो सकती है।"
tab_798,"हालांकि इसमें औसत कैमरा, एप्प लांच करते समय धीमा परफार्मेंस, या वास्तविक वॉल्यूम रॉकर जैसी खामियां है ,पर इसमें से कोई भी खाई इतनी गंभीर नहीं है।"
tab_160,सोनी एक्सपीरिया टेबलेट जेड 6.9 एमएम मोटाई के साथ बाज़ार में उपलब्ध सबसे पतला टेबलेट है।
tab_186,इस पर वीडियो तीक्ष्ण और क्रिस्प दिखाई देते हैं और इसका देखने का एंगल भी काफी बढ़िया है।
tab_293,इस टेबलेट की बैटरी लाइफ भी काफी अच्छी है।
tab_979,विक्डलीक वाम्मी 7 बिल्कुल सफेद रंग में आता है  लेकिन इसके किनारे अल्युमिनियम की तरह के बने है।
app_117,इस ऐप की सहायता से आप अपने आप को स्वस्थ रख रकते हैं।
tel_51,इनकी मेमोरी बढ़ाने के लिए स्टोरेज पोर्ट भी है।
mov_127,मगर फिल्म और भी अच्छी बन सकती थी।
mob_838,ब्लूम ग्लोब 4.0 लाइट की म्यूजिक क्वालिटी अच्छी है परंतु हमे शिकायत लाउडस्पीकर के प्लेसमेंट से है।
sma_331,"इसके अलावा एप्‍पल आईवॉच 2 की स्‍क्रीन में मौसम, समय के अलावा कैलेंडर जैसी सूचनाएं यूजर कभी भी देख सकता है।"
sma_95,इस वॉच में सैमसंग ने सारे इनपुट बटन्‍स वॉच के डायल में फिक्‍स किए हैं।
mob_432,इसकी कमजोर रैम  के कारण इसे इस्तेमाल करने वालों को कुछ असुविधा भी हो सकती है।
tra_569,बिहार का बाबा महेंद्रनाथ मंदिर प्राचीनतम मंदिरों में से एक है।
tab_29,ऐसे में इस माडल को खरीदने के साथ ही आपको कम से कम 16 जीबी का एक माइक्रोएसबी कार्ड खरीदना पड़ेगा  जिसका मतलब है 800 से 1000 रुपये का अतिरिक्त खर्च।
tra_706,क्योंकि वहां पहुंचने का रास्ता अत्यंत दुर्गम है।
app_6,अब नए फीचर से इस तरह की गलतियां नहीं होंगी और अकाउंट को हैक करना बेहद मुश्किल हो जाएगा।
cam_123,यह प्रोफेशनल फोटोग्राफर्स तथा वीडियोग्राफर्स के लिए एक शानदार कैमरा है।
lap_424,"इसके अलावा, गूगल ऐप्स और अन्य फीचर जैसे 9 यूजर्स एक साथ वीडियो चैटिंग कर सकते हैं।"
