reviewNum,domainID,aspectCategoryPolarity,review,aspectCategory,domain,reviewID,predictedCategory,predictedCategorySentiment
29,cam_118,pos,निकोन डी810 कैमरे की सबसे खास बात ये है कि इसमें फुल फ्रेम 36.3 मेगापिक्सल सीमॉस सेंसर और आईएसओ रेंज दिया गया है।,hardware,cam,cam_118,software,pos
30,hea_12,pos,कॉवन र्इएच2 के परफॉर्मेंस की सबसे आश्चर्यजनक और मजेदार बात यह है कि यह 25k हेडफोन्स के करीब है जो कि 8k बैंड के मुकाबले अधिक है।,misc,hea,hea_12,misc,pos
32,hea_20,pos,इसके बॉक्स बंडल में एक कैरी केस था जिससे यह काफी सुंदर दिख रहा था।,design,hea,hea_20,software,pos
34,hea_25,neu,"इसका केबल अधिकतर हिस्सों में फाइबर ब्रेडेड है लेकिन स्टॉपर से जहां लेफ्ट और राइट केबल अलग होती हैं, वे बहुत पतली हो जाती हैं।",hardware,hea,hea_25,software,pos
35,hea_29,neu,बैलेंस्ड आर्मेचर ड्राइवर हार्इ एण्ड स्पेक्ट्रम को संभालता है जबकि डायनेमिक ड्राइवर बास फ्रीक्वेंसी पैदा करता है।,hardware,hea,hea_29,software,pos
36,hea_33,pos,"विभिन्न सोर्सेज से र्इएच2 के बारे में कोशिश करने के बाद, एक बात स्पष्ट है कि इसका डिटेल असाधारण है।",design,hea,hea_33,design,neu
41,hom_76,neu,इसमें इलेक्ट्रोनिक कंट्रोल पैनल भी मौजूद है।,hardware,hom,hom_76,software,pos
42,hom_92,neu,"इसका इंडोर डायमेंशन 660 mm चौड़ाई, 430 mm हाइट और 805 mm गहराई है।",design,hom,hom_92,design,neu
43,lap_8,pos,"एचपी पवेलियन dv6 6100 की सबसे खास बात है इसमें आप अपनी जरूरत के हिसाब से कोर आई3, कोर आई 5 और कोर आई7 में कोई भी प्रोसेसर चुन सकते हैं।",hardware,lap,lap_8,software,pos
44,lap_14,neu,सिंगल माउस बटन और साधारण साउंड क्‍वालिटी है।,hardware,lap,lap_14,software,pos
45,lap_23,neg,बैटरी कुछ कमजोर होने के कारण कामकाजी लोगों को सफर के दौरान इसका इस्तेमाल करना असुविधाजनक लग सकता है।,hardware,lap,lap_23,ease_of_use,neg
46,lap_36,pos,"डिवाइस का सकारात्मक विशेषताओं HDMI के इनपुट, कूलर, काम पर कोई आवाज नहीं, एक सोने मोड ढक्कन बंद करने या सत्ता बटन दबाने में प्रवेश करने की क्षमता शामिल है।",hardware,lap,lap_36,software,pos
47,lap_49,pos,लेनोवो महान मल्टीमीडिया क्षमताओं के साथ एक मॉडल के रूप में श्रृंखला में एक लैपटॉप प्रदान की गई है।,misc,lap,lap_49,design,neu
48,lap_52,neu,"आप फ़ोटोशॉप और वीडियो गेम के शौकीन हैं लेकिन, यहाँ आप इसे पछतावा नहीं होगा।",misc,lap,lap_52,software,pos
49,lap_53,neu,"लैपटॉप द्वारा उत्सर्जित शोर का स्तर काफी स्वीकार्य है, काम में साथ हस्तक्षेप या आपको विचलित नहीं होगा।",misc,lap,lap_53,misc,pos
50,lap_60,pos,इसके साथ ही आसुस ने इस लैपटॉप में बेहतर चार्जिंग सिस्टम भी लगाया है।,hardware,lap,lap_60,software,pos
51,lap_61,pos,भारत का यह पहला नोटबुक है जो लेटेस्ट 5वें जेनरेशन के इंटेल कोर आइ7 प्रोसेसर से लैस है।,hardware,lap,lap_61,software,pos
52,lap_76,neg,"मेरी 12 महीने की वारंटी खत्म हो गई थी तो मैं मरता क्या न करता, यूएसबी वायरलेस नेटवर्क कार्ड अतिरिक्त 1200 रुपए खर्च कर ले आया।",hardware,lap,lap_76,design,neu
53,lap_85,pos,गेमिंग बेंचमार्क टेस्ट में इसका शानदार प्रदर्शन इसे सबसे आगे ला खड़ा करता है।,misc,lap,lap_85,software,pos
54,lap_98,pos,"इस कीमत के रेंज में इसका डिस्प्ले, इसके सभी प्रतिद्वंदियों से बेहतर है।",hardware,lap,lap_98,software,pos
55,lap_108,neu,एक पावरफुल मशीन का भारी होना बहुत स्वाभाविक है।,design,lap,lap_108,software,pos
56,lap_110,con,"हालाँकि इसमें ब्लू-रे ड्राइव नहीं है जो कि जेड580 में है, लेकिन इसका कीबोर्ड, डिस्प्ले और लुक काफी बेहतर है।",design,lap,lap_110,software,pos
57,lap_113,pos,एचपी एन्वी डीवी6 के स्पेसिफिकेशन लिस्ट पर नज़र डालें तो ये काफी बेहतर मालूम होती है।,hardware,lap,lap_113,software,pos
58,lap_115,pos,स्पेसिफिकेशन के आधार पर डीवी6 क्षमता में अपने प्रतियोगियों से काफी आगे और तीव्र मशीन नज़र आती है।,hardware,lap,lap_115,hardware,pos
59,lap_117,neg,लेकिन इसे एक बहुत सक्षम गेमिंग मशीन नहीं कहा जा सकता।,hardware,lap,lap_117,software,pos
60,lap_131,neu,"दोनों लैपटॉप एक ही फैमिली के लेकिन अलग वर्ज़न का चिप इस्तेमाल करते हैं, जेड580 में जहाँ 1जीबी की चिप है वहीँ डीवी6 में ज्यादा शक्तिशाली 2जीबी का चिप लगा है।",hardware,lap,lap_131,software,pos
61,lap_138,pos,एचपी एन्वी डीवी6 का कीबोर्ड भी जेड580 से काफी बेहतर है।,hardware,lap,lap_138,software,pos
62,lap_175,pos,इसमें एक बहुत अच्छा कीबोर्ड भी दिया गया है।,hardware,lap,lap_175,software,pos
63,lap_199,neu,बैटरी बेंचमार्क टेस्ट में विवोबुक एफ202ई की बैटरी लाइफ 148 मिनट रही।,hardware,lap,lap_199,software,pos
64,lap_209,neg,दिलचस्प बात है कि लगभग इसी कीमत में लिनोवो का एस400 माडल इंटल के कोर 3 प्रोसेसर के साथ मिल सकता है जो परफार्मेंस के मामले में बेहतर  है।,hardware,lap,lap_209,software,pos
65,lap_230,neu,इसलिए अगर चाहें तो 28 से 30 हजार रुपये के बीच मौजूद विकल्पों को भी तलाश लें क्योंकि अंत में जाकर इतनी ही लागत आपको इस लैपटाप की आएगी।,price,lap,lap_230,software,pos
66,lap_253,pos,सस्ती कीमत वाले गूगल क्रोमबुक लेपटॉप्स की जबरदस्त लोकप्रियता और बढ़ती मांग से माइक्रोसॉफ्ट के लेपटॉप्स की बिक्री में कमी आई है।,price,lap,lap_253,hardware,pos
67,lap_257,pos,यह सस्ता लेपटॉप वेब सर्फिग और वर्ड प्रोसेसिंग जैसे कार्यो के लिए बेहतर विकल्प हो सकता है।,misc,lap,lap_257,software,pos
68,lap_260,pos,डेल ने भारत में दो नए ऎसे दमदार नोटबुक लॉन्च किए हैं जो शानदार परफोर्मेश वाले हैं।,misc,lap,lap_260,software,pos
69,lap_267,pos,लेपटॉप और टेबलेट दोनों एकसाथ की लेने की इच्छा रखने वालों के लिए यह सबसे अच्छा मौका है।,misc,lap,lap_267,software,pos
70,lap_313,pos,"इसका टचस्क्रीन एक अतिरिक्त लाभ है, लेकिन एक नोटबुक में टचस्क्रीन के इस्तेमाल की बहुत कम ज़रूरत पड़ती है।",hardware,lap,lap_313,design,neu
71,lap_316,pos,रंग काफी गहरे हैं और ब्लैक लेवल इस कीमत के रेंज में सर्वोत्तम में से एक है।,price,lap,lap_316,software,pos
72,lap_403,pos,एक बार ऐसा कर लेने के बाद एन्वी डीवी6 का शानदार परफॉरमेंस आपको खुश कर देगा।,misc,lap,lap_403,software,pos
73,lap_427,neu,इस लैपटॉप की बैटरी 8 घंटे तक सिंगल चार्ज में काम कर सकती है।,hardware,lap,lap_427,hardware,pos
74,lap_461,neu,"साथ ही, माइक्रो सिम, माइक्रो SD कार्ड और स्मार्ट कार्ड रीडर का स्लॉट मौजूद है।",hardware,lap,lap_461,software,pos
75,mob_34,pos,प्राइस टैग तो जबरदस्त है ही।,price,mob,mob_34,software,pos
76,mob_41,pos,इसकी संरचनात्मक खूबसूरती आपको माइक्रोमैक्स के अन्य फोन्स के मुकाबले भाएगी।,design,mob,mob_41,design,neu
77,mob_47,pos,जब हमने इस बाबत चेक किया तो रिजल्ट्स काफी पॉजिटिव मिले।,misc,mob,mob_47,hardware,pos
78,mob_54,neg,बता दें कि इसका हैडसेट सुविधाजनक नहीं लगता हालांकि फोन कॉल सुनने में तो इसका इस्तेमाल कर ही सकते हैं।,hardware,mob,mob_54,design,neu
79,mob_64,con,विडियो कुछ ज्यादा ही अस्थिर थे लेकिन बाकी सब वैसा ही अच्छा रहा जैसे कि फोटोज के मामले में।,hardware,mob,mob_64,software,pos
80,mob_69,pos,"शानदार परफार्मेंस है, बहुत अच्छी बैटरी लाइफ है, पकड़ने में अच्छा है।",hardware,mob,mob_69,software,pos
81,mob_70,neg,"खराब कैमरा क्वालिटी, फोन भारी है, प्रतिस्पर्धियों के मुकाबले थोड़ा सा महंगा भी  है।",hardware,mob,mob_70,software,pos
82,mob_74,pos,सोनी की एक और अच्छी रचना जो कि मात्र देखने योग्य ही नहीं है।,misc,mob,mob_74,software,pos
83,mob_79,pos,"फोन में अच्छा मल्टीमिडिया, पुश मेल (push mail) सेवा दोहरे मेमोरी कार्ड स्लॉट तथा 2.8 इंची कैपेसिटिव टच स्क्रीन के साथ-साथ फीचर्स का पूरा जखीरा लगा है।",hardware,mob,mob_79,software,pos
84,mob_91,pos,"स्क्रीन की टच और इमेज क्वालिटी अच्छी है, बटेरी डेढ़ दिन तक चलता है, पर्फोर्मांस भी बहुत अच्छा है, पकड़ने में भी आसान है।",hardware,mob,mob_91,software,pos
85,mob_92,neg,आगे कैमरा नहीं है अौर कैमरा की इमेज क्वालिटी खराब  है है।,hardware,mob,mob_92,ease_of_use,neg
86,mob_95,neu,इसे जेनफोन 2 नाम से लाया गया है जिसमें 4 जीबी रैम लगी है यह और एंड्रॉयड के लेटेस्ट वर्जन 5.0 लॉलीपॉप पर काम करता है।,software,mob,mob_95,software,pos
87,mob_96,pos,इसके अलावा इसमें आगे और पीछे की तरफ जबरदस्त कैमरे और अंदर बड़ी बैटरी दिए गए हैं।,hardware,mob,mob_96,software,pos
88,mob_99,pos,जबरदस्त प्रोसेसर से लैस इस स्मार्टफोन में 8 मेगापिक्सल कैमरा पीछे की तरफ दिया गया है और इसमें आगे की तरफ भी सेल्फी कैमरा दिया गया है।,hardware,mob,mob_99,software,pos
89,mob_107,neu,इस स्मार्टफोन के किनारे घुमावदार हैं  यह दिखने में बहुत साधारण है।,design,mob,mob_107,design,neu
90,mob_111,pos,कलर रीप्रडक्शन अच्छा है और कंट्रास्ट लेवल भी बढ़िया है  और किनारों से स्क्रीन देखने पर भी रंग कमोबेश ठीक दिखते हैं।,hardware,mob,mob_111,software,pos
91,mob_115,neu,"कई भारी ऐप्स एक साथ चलाने पर यह थोड़ा अटकने लगता है, लेकिन ज्यादातर यूज़र्स को इसे इस्तेमाल करते हुए कोई खास दिक्कत नहीं होगी।",ease_of_use,mob,mob_115,software,pos
92,mob_143,neg,हमें इसकी परफॉर्मेंस में बहुत से इशू फील हुए।,misc,mob,mob_143,design,neu
93,mob_148,con,"अधिकतर यूजर्स के लिए गेमिंग, मूवीज देखने और पढ़ने के लिए अच्छा है पर सूर्य की रोशनी में काफी कठिनाइयां आएंगी।",hardware,mob,mob_148,software,pos
94,mob_164,neu,"इसमें मैन कैमरा 13 मेगापिक्‍सल का लगा हुआ है जिसमें सीन डिटेक्‍शन, फेस रिकॉग्‍नाइजेशन, लो लाइट इनहेंसमेंट, पैनोरमा, जियो टैगिंग, बस्‍ट शॉट, स्‍माइल शॉट और एचडीआर जैसे ऑप्‍शन दिए गए हैं।",hardware,mob,mob_164,software,pos
95,mob_168,pos,इसके साथ कुछ शानदार ऑफर भी मिल रहे हें।,misc,mob,mob_168,software,pos
96,mob_205,pos,"एमआइ 4आइ में ब्युटिफिकेशन फीचर दिया गया है, जो रिंकल और फेस के अन्य दाग- धब्बों को रिमूव करके सेल्फी व पिक्चर्स के मजे को दोगुना बना देता है।",hardware,mob,mob_205,software,pos
97,mob_209,neu,"नेक्सस 6 बहुत बड़ा फोन है, मार्केट में फिलहाल उपलब्ध सभी फैबलेट में नेक्सस 6 सबसे बड़ा फैबलेट है।",design,mob,mob_209,software,pos
98,mob_217,pos,इस फोन में स्टनिंग स्क्रीन के साथ ग्रेट बिल्ट क्वालिटी उपलब्ध है।,hardware,mob,mob_217,software,pos
99,mob_232,pos,1 जीबी के रैम की वजह से इसका परफार्मेंस काफी अच्छा है।,hardware,mob,mob_232,software,pos
100,mob_246,neu,नेक्सस 6 गूगल के नये एंड्रायड 5 लॉलीपॉप पर चलने वाला पहला स्मार्टफोन है।,software,mob,mob_246,software,pos
101,mob_256,neu,एस हेल्थ यूजर के प्रतिदिन के फिजिकल एक्टिीविटी का स्नैपशॉट मुहैया कराएगा।,ease_of_use,mob,mob_256,software,pos
102,mob_260,pos,पर जेनरल पफार्मेंस बेहतर है इसमें एसफाल्ट 8 जैसे गेम बेहतर तरीके से खेला जा सकता है।,misc,mob,mob_260,software,pos
103,mob_274,neu,डिवाइस में पोर्ट व बटन भी ठीक आकार में लगाए गए हैं।,hardware,mob,mob_274,software,pos
104,mob_284,pos,यदि ऑडियो सिस्टम की बात करें तो आवाज काफी अच्छी है साथ ही लाउडस्पीकर पर भी म्यूजिक सुनने का अनुभव अच्छा है।,hardware,mob,mob_284,software,pos
105,mob_287,pos,वैम्मी नियो काफी पतला डिवाइस है और वजन के मामले में इसने मोटो जी को भी पीछे छोड़ा है।,design,mob,mob_287,design,neu
106,mob_353,pos,आर्या जेड2 एक एंड्रॉयड स्मार्टफोन है जो इसके लेटेस्ट वर्जन 4.4 किटकैट पर काम करता है।,software,mob,mob_353,software,pos
107,mob_357,pos,फ्रंट कैमरे के मामले यह रेडमी 1एस से ज्यादा अच्छा है।,hardware,mob,mob_357,software,pos
108,mob_381,pos,4G कनेक्टिविटी के साथ इस वक्त यह भारत का सबसे सस्ता स्मार्टफोन है।,hardware,mob,mob_381,software,pos
109,mob_402,pos,"पांच चटख रंगों, जिनमें नारंगी,  गुलाबी और सफेद जैसे रंग शामिल हैं, में यह फोन युवाओं के लिए लुभावना हो सकता है।",design,mob,mob_402,software,pos
110,mob_410,neg,इसके लिए ब्लूटूथ डोगल यां मेमोरी कार्ड रीडर का इस्तेमाल करना होगा जो अत्यंत असुविधाजनक है।,ease_of_use,mob,mob_410,ease_of_use,neg
111,mob_411,neg,हमारा मानना है कि अपने आप में यह इकलौता हैंडसेट आपके लिए एकमात्र मोबाइल के तौर पर शायद नाकाफी साबित होगा।,misc,mob,mob_411,design,neu
112,mob_416,neu,लावा का यह नया ड्यूअल कोर स्मार्टफोन है।,hardware,mob,mob_416,software,pos
113,mob_440,neu,इसमें दो सिम कार्ड लगाए जा सकते हैं लेकिन एक को इस्तेमाल करते समय दूसरा सिम कार्ड सक्रिय नहीं होगा।,hardware,mob,mob_440,hardware,pos
114,mob_451,pos,इस श्रेणी के अन्य कई फोनों की तुलना में आप यहां कहीं बेहतर स्पीड पाएंगे।,misc,mob,mob_451,software,pos
115,mob_469,pos,इस माॅडल में 1080 पिक्सल और पांच इंच की शानदार स्क्रीन है।,hardware,mob,mob_469,software,pos
116,mob_481,neu,अनुवाद के लिए मौजूद ट्रांसलेशन टूल  और गूगल के ट्रांसलेशन टूल में कोई खास फर्क नहीं लगता है।,software,mob,mob_481,software,pos
117,mob_509,neg,स्क्रीन का आकर 3.5 इंच है जिसके चलते गेमिंग का अनुभव बहुत सुखद नहीं है।,hardware,mob,mob_509,software,pos
118,mob_521,pos,विंडोज फोन यूजर्स के लिए ऐप स्टोर पर काफी सारी ऐप मौजूद हैं।,software,mob,mob_521,software,pos
119,mob_522,neg,"आपको यहां लगभग सभी जरूरी ऐप मिल जाएंगी, लेकिन अभी भी आईओएस और एंड्रॉयड की तुलना में यहां एप्लिकेशंस की संख्या कम ही है।",software,mob,mob_522,software,pos
120,mob_550,pos,"फिर भी अच्छी बात यह है कि इसमें 2 जीबी रैम है, यह उस सबके लिए पर्याप्त से भी अधिक है जिसके लिए आप अपना स्मार्टफोन इस्तेमाल करना चाहेंगे।",hardware,mob,mob_550,software,pos
121,mob_558,con,हालांकि वन में तस्वीरे और भी खराब होती थी और यू उन्हें उतना अंडरसॅच्यूरेटेड नहीं करता।,hardware,mob,mob_558,ease_of_use,neg
122,mob_567,pos,बैटरी लाइफ बढ़िया है (लगभग पूरा दिन चलती है),hardware,mob,mob_567,software,pos
123,mob_578,pos,इसका बैक में दिया गया रियर कैमरा काफी अच्छा लग रहा है।,hardware,mob,mob_578,software,pos
124,mob_606,neu,"जैसे आप अपनी फेवरिट कॉलर के लिए अलग-अलग रंग की थीम चुन सकते है, जो फोन आने पर इसके Edge पर अलग दिखायी देगी।",software,mob,mob_606,software,pos
125,mob_639,con,"कुल मिलाकर फोन भले ही पतला हो, लेकिन जिओनी ने एक अच्छी बॉडी वाला फोन बना लिया है।",design,mob,mob_639,design,neu
126,mob_642,pos,"Moto E का ये नया वर्जन भी, पिछले फोन के मुकाबले काफी नई चीजें अपने साथ लेकर आया है।",misc,mob,mob_642,design,neu
127,mob_655,pos,"दिखने में बड़ा, पर वजन में हल्का और हाथ से आसानी से फिसलता नहीं।",design,mob,mob_655,design,neu
128,mob_658,pos,व्यूइंग एंगल जबरदस्त है।,hardware,mob,mob_658,software,pos
129,mob_688,pos,HTC One M9 को हाथ में ले कर ये तो महसूस होता है कि इसे 'फुर्सत से बनाया' गया है।,misc,mob,mob_688,design,neu
130,mob_690,pos,परफॉर्मंस रेशो के लिए उत्कृष्ट कीमत है।,price,mob,mob_690,software,pos
131,mob_692,pos,मजबूत बनावट है।,design,mob,mob_692,software,pos
132,mob_693,pos,आकर्षक डिस्प्ले है।,hardware,mob,mob_693,software,pos
133,mob_698,pos,मोटो जी कीमत के टॅग पर पूरी तरह से खरा उतरता है।,price,mob,mob_698,software,pos
134,mob_700,pos,सबसे किफायती ऍण्ड्रॉइड स्मार्टफोनों में से एक है; जो नेक्सस 4 के जैसी विशेषताओं के साथ प्रस्तुत हुआ है।,price,mob,mob_700,software,pos
135,mob_701,pos,जो अपने अनुमानित मूल्य निर्धारण और तगड़ी विशेषताओं के लिए सबका ध्यान आकर्षित कर रहा था।,price,mob,mob_701,design,neu
136,mob_705,neg,डिस्प्ले ग्लास स्मार्टफोन की अगली बाजू को पूरी तरह से ढंकता है जिससे धब्बो और उंगलियों के निशानों की संभावना बढ़ जाती है।,hardware,mob,mob_705,software,pos
137,mob_706,pos,"मोटो जी के बैक पर हल्का सा उभार है जो उसे अच्छा घूमाव प्रदान करता है, जिससे वह हाथ में अच्छे से बैठता है।",design,mob,mob_706,software,pos
138,mob_727,pos,"इसी कीमत में अन्य स्मार्टफोन भी है जो ऐसे ही या इससे भी बढ़कर विशेषताएं प्रदान कर रहे हैं, लेकिन अगर ईमानदारी से कहा जाए तो मोटो जी सच में “नो-नॉनसेंस” बजट ऍण्ड्रॉइड स्मार्टफोन है।",misc,mob,mob_727,design,neu
139,mob_741,pos,कुल मिलाकर इसके यूजर इंटरफ़ेस का अनुभव बहुत शानदार और सहज है।,software,mob,mob_741,software,pos
140,mob_750,pos,सोनी एक्सपीरिया ज़ेड वन कॉम्पैक्ट की अन्य छोटे उपकरणों से तुलना करने पर यह निर्विवाद रूप से सबसे बेहतर साबित होता है।,misc,mob,mob_750,software,pos
141,mob_752,pos,अच्छा प्रदर्शन है।,software,mob,mob_752,software,pos
142,mob_770,pos,"टोनिनी लेम्बोर्गिनी 88 टौरी आसानी से आप के लिए देढ़ दिन तक चलेगी, जो किसी भी स्मार्टफोन के लिए अच्छा है।",hardware,mob,mob_770,software,pos
143,mob_773,neg,इन दिनों महज अच्छे शॉट्स लेना पर्याप्त नहीं है।,misc,mob,mob_773,software,pos
144,mob_775,neu,बाकी यह सब कुछ वही देता हैं जो अन्य प्रमुख फोन (जो कि इस फोन की एक-चौथाई से भी कम कीमत वाले हैं) प्रदान करते है।,price,mob,mob_775,design,neu
145,mob_777,con,फोन का ऑपरेटिंग शानदार है लेकिन स्‍पेसिफिकेशन में थोड़ा पीछे हो जाता है।,software,mob,mob_777,software,pos
146,mob_779,neu,फोन की बॉडी मैट फिनिश प्लास्टिक की है।,design,mob,mob_779,design,neu
147,mob_783,pos,फोन में एक साफ सुथरा और अच्छा ऑपरेटिंग देखने को मिलता है।,software,mob,mob_783,software,pos
148,mob_807,pos,वहीं परफॉर्मेंस भी अच्छा है।,misc,mob,mob_807,software,pos
149,mob_827,pos,जहां तक फोन के लुक की बात है तो देखने में शानदार है।,design,mob,mob_827,software,pos
150,mob_829,neg,डिजाइन में कमी की बात करें तो बहुत जल्दी उंग्लियों के निशान आ रहे थे और फोन बहुत जल्दी गंदा हो जा रहा था।,design,mob,mob_829,design,neu
151,mob_838,neg,ब्लूम ग्लोब 4.0 लाइट की म्यूजिक क्वालिटी अच्छी है परंतु हमे शिकायत लाउडस्पीकर के प्लेसमेंट से है।,software,mob,mob_838,software,pos
152,mob_844,pos,पर फीचर फोन के हिसाब से यह काफी अच्छा फ़ोन है।,misc,mob,mob_844,software,pos
153,mob_846,neg,"इस फ़ोन का डिस्प्ले ठीक ठाक ही है पर कोनो से देखने पर ठीक नज़र नहीं आता,यह आपका वीडियो देखने का मज़ा किरकिरा कर सकता है।",hardware,mob,mob_846,software,pos
154,mob_858,neu,"ऑल-ग्लास बॉडी वाले इस स्मार्टफोन को काले, नीले, लाल और सुनहरे रंग के विकल्प के साथ उपलब्ध कराया गया है।",design,mob,mob_858,software,pos
155,mob_908,neu,इसके साथ ही यह नया स्मार्टफ़ोन ड्यूल-सिम सपोर्ट के साथ आ रहा है।,hardware,mob,mob_908,software,pos
156,mob_909,neu,अगर कैमरा की बात करें तो इस नए स्मार्टफ़ोन में 5MP LED फ़्लैश के साथ रियर और 2MP का फ्रंट फेसिंग कैमरा है।,hardware,mob,mob_909,software,pos
157,mob_930,con,"जबकि जी3 को एक-हाथ से संचालित करना उतना आसान नहीं है, यह अन्य डिवाइस जिनका स्क्रीन छोटा है कि तुलना में बहुत बेहतर कार्य करता है।",ease_of_use,mob,mob_930,software,pos
158,mob_943,pos,"आप एक विशिष्ट नॉक पैटर्न निर्धारित कर सकते है, जो आपको फोन को अनलॉक करेगा।",software,mob,mob_943,software,pos
159,mob_951,pos,वर्तमान समय में जी3 कैमरा निश्चित रूप से सर्वश्रेष्ठ है।,hardware,mob,mob_951,software,pos
160,mob_960,con,"लगभग रूपये 44,000 की कीमत पर यह फोन बहुत अधिक लोकप्रिय हुआ होता, परन्तु इसके बावजूद यदि आपके पास एक फ्लैगशिप स्मार्टफोन के लिए बजट है तो यह पहली अनुशंसा होगी।",price,mob,mob_960,software,pos
161,mob_964,neg,चमकीला फिनिश इसे बहुत फिसलने वाला बनाता है।,design,mob,mob_964,design,neu
162,mob_966,pos,एक बहुत ही खास और महत्वपूर्ण अपडेट्स इसके स्पीकर्स हैं जो अब डिस्प्ले के नीचे और ऊपर हैं और पहले से अधिक तेज आवाज वाले भी हैं।,hardware,mob,mob_966,software,pos
